Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.139037,0.830792,12,'11111011010011000101'
0,1,0.503461,0.831115,14,'11111011010011101101'
0,2,0.561751,0.847602,14,'11111011110011010101'
0,3,0.636958,0.847602,14,'11111011110011010101'
0,4,0.655255,0.99093,13,'11111111110001000101'
0,5,0.633601,0.849577,14,'11111011110111000101'
0,6,0.713009,0.917233,12,'11111101110011000100'
0,7,0.746109,0.99216,15,'11111111110011000111'
0,8,0.804873,0.994587,16,'11111111110111000111'
0,9,0.741909,0.992425,15,'11111111110011100011'
0,10,0.764282,0.997266,15,'11111111111011100001'
0,11,0.747711,0.997266,15,'11111111111011100001'
0,12,0.715333,0.997266,15,'11111111111011100001'
0,13,0.65717,0.999457,17,'11111111111111000111'
0,14,0.710443,0.999418,16,'11111111111111000011'
0,15,0.692477,0.998199,15,'11111111111101000011'
0,16,0.847207,0.997409,15,'11111111111011110000'
0,17,0.789016,0.997266,15,'11111111111011100001'
0,18,0.79309,0.997304,16,'11111111111011100101'
0,19,0.863891,0.997438,17,'11111111111011110011'
0,20,0.890656,0.999771,16,'11111111111111101000'
0,21,0.943071,0.999466,15,'11111111111111001000'
0,22,0.735789,0.997323,17,'11111111111011100111'
0,23,0.845148,0.999704,16,'11111111111111100001'
0,24,0.859901,0.999781,17,'11111111111111101001'
0,25,0.793322,0.999762,18,'11111111111111100111'
0,26,0.740046,0.999762,18,'11111111111111100111'
0,27,0.745309,0.999914,19,'11111111111111110111'
0,28,0.755183,0.999914,19,'11111111111111110111'
0,29,0.780901,0.999914,19,'11111111111111110111'
0,30,0.635752,0.989738,16,'11111111101111000111'
0,31,0.75269,0.999457,17,'11111111111111000111'
0,32,0.665478,0.999695,15,'11111111111111100000'
0,33,0.611244,0.999695,15,'11111111111111100000'
0,34,0.678413,0.98937,13,'11111111101110100000'
0,35,0.849113,0.999695,15,'11111111111111100000'
0,36,0.819921,0.98937,13,'11111111101110100000'
0,37,0.767444,0.984545,12,'11111111100110100000'
0,38,0.802886,0.990126,15,'11111111101111110000'
0,39,0.772081,0.98462,13,'11111111100110101000'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.109173,0.867869,13,'11111100011001011101'
1,1,0.569726,0.868776,12,'11111100011011001001'
1,2,0.599365,0.897149,13,'11111101001111001001'
1,3,0.439608,0.897426,14,'11111101001111101001'
1,4,0.512182,0.853174,16,'11111011111101111001'
